Players_ID,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1348,348,Markieff Morris,PF,33,DAL,8,1,8.8,1.8,4.1,0.0,0.0,1.5,1.5,0.8,0.1,0.0,0.5,1.9,4.5
1349,349,Monte Morris,PG,27,WAS,62,61,27.3,4.0,8.3,0.831,0.4,3.0,3.4,5.3,0.7,0.2,1.0,1.2,10.3
1350,350,Trey Murphy III,SF,22,NOP,79,65,31.0,4.9,10.1,0.905,0.7,2.8,3.6,1.4,1.1,0.5,0.8,2.0,14.5
1351,351,Dejounte Murray,SG,26,ATL,74,74,36.4,8.3,17.8,0.832,0.7,4.5,5.3,6.1,1.5,0.3,2.2,1.4,20.5
1352,352,Jamal Murray,PG,25,DEN,65,65,32.8,7.3,16.0,0.833,0.7,3.2,4.0,6.2,1.0,0.2,2.2,1.6,20.0
1353,353,Keegan Murray,SF,22,SAC,80,78,29.8,4.4,9.8,0.765,1.1,3.5,4.6,1.2,0.8,0.5,0.8,2.0,12.2
1354,354,Mike Muscala,C,31,TOT,63,9,15.0,2.1,4.6,0.769,0.6,2.6,3.2,0.8,0.2,0.4,0.4,1.6,6.1
1354,354,Mike Muscala,C,31,OKC,43,5,14.5,2.1,4.7,0.795,0.5,2.6,3.1,0.9,0.3,0.4,0.3,1.6,6.2
1354,354,Mike Muscala,C,31,BOS,20,4,16.2,2.1,4.5,0.692,0.7,2.7,3.4,0.6,0.2,0.3,0.5,1.4,5.9
1355,355,Svi Mykhailiuk,SF,25,TOT,32,8,14.6,2.4,5.4,0.667,0.5,1.2,1.7,1.7,0.5,0.1,0.8,0.7,6.9
1355,355,Svi Mykhailiuk,SF,25,NYK,13,0,3.1,0.5,0.9,0.6,0.0,0.5,0.5,0.1,0.1,0.0,0.2,0.1,1.6
1355,355,Svi Mykhailiuk,SF,25,CHO,19,8,22.5,3.7,8.5,0.676,0.8,1.6,2.4,2.7,0.7,0.2,1.2,1.2,10.6
1356,356,Larry Nance Jr.,PF,30,NOP,65,1,21.2,2.9,4.7,0.696,1.6,3.8,5.4,1.8,0.9,0.6,0.6,2.0,6.8
1357,357,Andrew Nembhard,SG,23,IND,75,63,27.6,3.8,8.6,0.79,0.5,2.2,2.7,4.5,0.9,0.2,1.7,2.4,9.5
1358,358,Aaron Nesmith,SF,23,IND,73,60,24.9,3.5,8.1,0.838,0.8,2.9,3.8,1.3,0.8,0.5,1.0,3.2,10.1
1359,359,Raul Neto,PG,30,CLE,48,1,10.5,1.2,2.3,0.912,0.2,0.8,1.0,1.6,0.4,0.1,0.5,1.0,3.3
1360,360,Georges Niang,PF,29,PHI,78,1,19.4,2.8,6.4,0.867,0.2,2.1,2.4,1.0,0.4,0.2,0.7,1.9,8.2
1361,361,Daishen Nix,PG,20,HOU,57,7,16.0,1.4,4.2,0.667,0.3,1.4,1.7,2.3,0.5,0.1,1.5,1.0,4.0
1362,362,Zeke Nnaji,PF,22,DEN,53,5,13.7,2.1,3.7,0.645,1.2,1.4,2.6,0.3,0.3,0.4,0.6,2.0,5.2
1363,363,Nerlens Noel,C,28,TOT,17,4,11.5,0.8,2.1,0.667,0.6,2.1,2.7,0.6,0.9,0.6,0.8,1.9,2.1
1363,363,Nerlens Noel,C,28,DET,14,3,10.9,0.9,2.1,0.7,0.5,2.1,2.6,0.5,0.9,0.6,0.6,1.8,2.3
1363,363,Nerlens Noel,C,28,BRK,3,1,14.3,0.3,2.0,0.5,1.0,2.0,3.0,1.0,1.0,0.3,1.7,2.3,1.0
1364,364,Jaylen Nowell,SG,23,MIN,65,2,19.3,4.3,9.6,0.778,0.6,2.1,2.6,2.0,0.6,0.1,1.0,1.6,10.8
1365,365,Frank Ntilikina,PG,24,DAL,47,5,12.9,1.0,2.8,0.667,0.1,1.2,1.3,1.2,0.3,0.1,0.6,1.4,2.9
1366,366,Kendrick Nunn,SG-PG,27,TOT,70,2,13.8,2.7,6.4,0.854,0.2,1.3,1.6,1.3,0.4,0.1,0.9,0.9,7.1
1366,366,Kendrick Nunn,SG,27,LAL,39,2,13.5,2.6,6.4,0.81,0.1,1.3,1.4,0.9,0.3,0.1,0.8,0.9,6.7
1366,366,Kendrick Nunn,PG,27,WAS,31,0,14.1,2.9,6.4,0.9,0.3,1.4,1.7,1.8,0.5,0.1,1.1,1.0,7.5
1367,367,Jusuf Nurki?,C,28,POR,52,52,26.8,5.0,9.7,0.661,2.2,6.9,9.1,2.9,0.8,0.8,2.3,3.6,13.3
1368,368,Jordan Nwora,SF,24,TOT,62,14,19.2,3.1,7.2,0.791,0.8,2.9,3.7,1.4,0.4,0.2,1.1,1.2,8.7
1368,368,Jordan Nwora,SF,24,MIL,38,3,15.7,2.0,5.2,0.86,0.8,2.3,3.1,1.0,0.3,0.2,0.9,0.9,6.0
1368,368,Jordan Nwora,SF,24,IND,24,11,24.6,4.9,10.3,0.721,0.9,3.8,4.7,2.1,0.5,0.3,1.3,1.7,13.0
1369,369,Royce O'Neale,SF,29,BRK,76,53,31.7,3.0,7.8,0.725,0.7,4.3,5.1,3.7,0.9,0.6,1.5,3.1,8.8
1370,370,Chuma Okeke,SF,24,ORL,27,8,19.2,1.6,4.5,0.762,1.0,2.6,3.6,1.4,0.7,0.4,0.6,1.5,4.7
1371,371,Josh Okogie,SG,24,PHO,72,26,18.8,2.3,5.8,0.724,1.5,2.0,3.5,1.5,0.8,0.5,0.9,1.6,7.3
1372,372,Onyeka Okongwu,C,22,ATL,80,18,23.1,4.0,6.2,0.781,2.7,4.5,7.2,1.0,0.7,1.3,1.0,3.1,9.9
1373,373,Isaac Okoro,SF,22,CLE,76,46,21.7,2.3,4.7,0.757,0.7,1.8,2.5,1.1,0.7,0.4,0.6,2.1,6.4
1374,374,KZ Okpala,PF,23,SAC,35,3,7.1,0.5,1.1,0.875,0.2,0.8,1.0,0.4,0.2,0.2,0.2,1.1,1.3
1375,375,Victor Oladipo,SG,30,MIA,42,2,26.3,3.8,9.6,0.747,0.4,2.7,3.0,3.5,1.4,0.3,2.1,2.4,10.7
1376,376,Kelly Olynyk,C,31,UTA,68,68,28.6,4.1,8.2,0.853,1.2,5.0,6.2,3.7,0.9,0.5,2.5,3.4,12.5
1377,377,Eugene Omoruyi,SF,25,TOT,40,6,16.1,2.5,5.7,0.68,1.1,1.7,2.8,0.7,0.7,0.1,0.9,2.3,7.0
1377,377,Eugene Omoruyi,SF,25,OKC,23,2,11.8,1.9,4.1,0.607,1.0,1.3,2.3,0.5,0.6,0.0,0.7,2.0,4.9
1377,377,Eugene Omoruyi,SF,25,DET,17,4,21.9,3.4,7.9,0.723,1.2,2.2,3.5,1.0,0.8,0.2,1.1,2.6,9.7
1378,378,Cedi Osman,SF,27,CLE,77,2,20.1,3.1,6.9,0.694,0.3,2.0,2.3,1.5,0.5,0.1,0.7,1.6,8.7
1379,379,Kelly Oubre Jr.,SF,27,CHO,48,40,32.3,7.4,17.1,0.76,1.4,3.8,5.2,1.1,1.4,0.4,1.3,2.9,20.3
1380,380,Chris Paul,PG,37,PHO,59,59,32.0,5.0,11.3,0.831,0.5,3.8,4.3,8.9,1.5,0.4,1.9,2.1,13.9
1381,381,Cameron Payne,PG,28,PHO,48,15,20.2,3.9,9.4,0.766,0.3,2.0,2.2,4.5,0.7,0.2,1.7,1.8,10.3
